task,precision,recall,f1,number,accuracy,validation_corpus,validation_duration,language,corpus,subset,tokens,sentences,model_id,model_languages,model_corpora
overall,0.8696770046601318,0.8859060402684564,0.8777165098929615,,0.981572393141475,ner_study/corpora/conll/esp.testb.feather,25.913084,es,conll,esp.testb.txt,51533,1517,32872,"ar, ca, cs, de, en, es, fi, fr, hu, it, nl, pt, zh","ancora, aqmar, cnec2.0, conll, emerging, europeana, finer, germeval2014, harem, hipe, kind, nerkor, ontonotes, sonar"
LOC,0.6097674418604652,0.8664904163912757,0.7158067158067158,1513.0,,ner_study/corpora/conll/ned.testb.feather,87.474665,nl,conll,ned.testb.txt,68875,5195,32872,"ar, ca, cs, de, en, es, fi, fr, hu, it, nl, pt, zh","ancora, aqmar, cnec2.0, conll, emerging, europeana, finer, germeval2014, harem, hipe, kind, nerkor, ontonotes, sonar"
MISC,0.8544097060195986,0.6337833160263067,0.7277424483306836,2889.0,,ner_study/corpora/conll/ned.testb.feather,87.474665,nl,conll,ned.testb.txt,68875,5195,32872,"ar, ca, cs, de, en, es, fi, fr, hu, it, nl, pt, zh","ancora, aqmar, cnec2.0, conll, emerging, europeana, finer, germeval2014, harem, hipe, kind, nerkor, ontonotes, sonar"
ORG,0.8448168839230292,0.8086749851455733,0.8263509411050395,1683.0,,ner_study/corpora/conll/ned.testb.feather,87.474665,nl,conll,ned.testb.txt,68875,5195,32872,"ar, ca, cs, de, en, es, fi, fr, hu, it, nl, pt, zh","ancora, aqmar, cnec2.0, conll, emerging, europeana, finer, germeval2014, harem, hipe, kind, nerkor, ontonotes, sonar"
PER,0.9264150943396227,0.9651105651105651,0.945367027677497,2035.0,,ner_study/corpora/conll/ned.testb.feather,87.474665,nl,conll,ned.testb.txt,68875,5195,32872,"ar, ca, cs, de, en, es, fi, fr, hu, it, nl, pt, zh","ancora, aqmar, cnec2.0, conll, emerging, europeana, finer, germeval2014, harem, hipe, kind, nerkor, ontonotes, sonar"
overall,0.8059571286141576,0.7964285714285714,0.8011645193260654,,0.9799452505339578,ner_study/corpora/conll/ned.testb.feather,87.474665,nl,conll,ned.testb.txt,68875,5195,32872,"ar, ca, cs, de, en, es, fi, fr, hu, it, nl, pt, zh","ancora, aqmar, cnec2.0, conll, emerging, europeana, finer, germeval2014, harem, hipe, kind, nerkor, ontonotes, sonar"
LOC,0.7368421052631579,0.7368421052631579,0.7368421052631579,57.0,,ner_study/corpora/europeana/enp_DE.onb_validation.feather,0.052629,de,europeana,enp_DE.onb.txt,11223,3,32872,"ar, ca, cs, de, en, es, fi, fr, hu, it, nl, pt, zh","ancora, aqmar, cnec2.0, conll, emerging, europeana, finer, germeval2014, harem, hipe, kind, nerkor, ontonotes, sonar"
ORG,0.0,0.0,0.0,0.0,,ner_study/corpora/europeana/enp_DE.onb_validation.feather,0.052629,de,europeana,enp_DE.onb.txt,11223,3,32872,"ar, ca, cs, de, en, es, fi, fr, hu, it, nl, pt, zh","ancora, aqmar, cnec2.0, conll, emerging, europeana, finer, germeval2014, harem, hipe, kind, nerkor, ontonotes, sonar"
PER,0.7560975609756098,0.5740740740740741,0.6526315789473683,54.0,,ner_study/corpora/europeana/enp_DE.onb_validation.feather,0.052629,de,europeana,enp_DE.onb.txt,11223,3,32872,"ar, ca, cs, de, en, es, fi, fr, hu, it, nl, pt, zh","ancora, aqmar, cnec2.0, conll, emerging, europeana, finer, germeval2014, harem, hipe, kind, nerkor, ontonotes, sonar"
overall,0.73,0.6576576576576577,0.6919431279620853,,0.9307025986525506,ner_study/corpora/europeana/enp_DE.onb_validation.feather,0.052629,de,europeana,enp_DE.onb.txt,11223,3,32872,"ar, ca, cs, de, en, es, fi, fr, hu, it, nl, pt, zh","ancora, aqmar, cnec2.0, conll, emerging, europeana, finer, germeval2014, harem, hipe, kind, nerkor, ontonotes, sonar"
LOC,0.7674157303370787,0.7440087145969498,0.7555309734513274,1836.0,,ner_study/corpora/europeana/enp_FR.bnf_validation.feather,29.837083,fr,europeana,enp_FR.bnf.txt,30030,1778,32872,"ar, ca, cs, de, en, es, fi, fr, hu, it, nl, pt, zh","ancora, aqmar, cnec2.0, conll, emerging, europeana, finer, germeval2014, harem, hipe, kind, nerkor, ontonotes, sonar"
MISC,0.0,0.0,0.0,0.0,,ner_study/corpora/europeana/enp_FR.bnf_validation.feather,29.837083,fr,europeana,enp_FR.bnf.txt,30030,1778,32872,"ar, ca, cs, de, en, es, fi, fr, hu, it, nl, pt, zh","ancora, aqmar, cnec2.0, conll, emerging, europeana, finer, germeval2014, harem, hipe, kind, nerkor, ontonotes, sonar"
ORG,0.5473856209150327,0.634469696969697,0.5877192982456141,528.0,,ner_study/corpora/europeana/enp_FR.bnf_validation.feather,29.837083,fr,europeana,enp_FR.bnf.txt,30030,1778,32872,"ar, ca, cs, de, en, es, fi, fr, hu, it, nl, pt, zh","ancora, aqmar, cnec2.0, conll, emerging, europeana, finer, germeval2014, harem, hipe, kind, nerkor, ontonotes, sonar"
PER,0.821160409556314,0.8365785813630042,0.8287977953840854,1438.0,,ner_study/corpora/europeana/enp_FR.bnf_validation.feather,29.837083,fr,europeana,enp_FR.bnf.txt,30030,1778,32872,"ar, ca, cs, de, en, es, fi, fr, hu, it, nl, pt, zh","ancora, aqmar, cnec2.0, conll, emerging, europeana, finer, germeval2014, harem, hipe, kind, nerkor, ontonotes, sonar"
overall,0.7492260061919505,0.7638085218306154,0.7564469914040114,,0.9609400589584016,ner_study/corpora/europeana/enp_FR.bnf_validation.feather,29.837083,fr,europeana,enp_FR.bnf.txt,30030,1778,32872,"ar, ca, cs, de, en, es, fi, fr, hu, it, nl, pt, zh","ancora, aqmar, cnec2.0, conll, emerging, europeana, finer, germeval2014, harem, hipe, kind, nerkor, ontonotes, sonar"
LOC,0.7287581699346405,0.8415094339622642,0.7810858143607705,265.0,,ner_study/corpora/europeana/enp_DE.lft_validation.feather,1.308209,de,europeana,enp_DE.lft.txt,2727,78,32872,"ar, ca, cs, de, en, es, fi, fr, hu, it, nl, pt, zh","ancora, aqmar, cnec2.0, conll, emerging, europeana, finer, germeval2014, harem, hipe, kind, nerkor, ontonotes, sonar"
MISC,0.0,0.0,0.0,0.0,,ner_study/corpora/europeana/enp_DE.lft_validation.feather,1.308209,de,europeana,enp_DE.lft.txt,2727,78,32872,"ar, ca, cs, de, en, es, fi, fr, hu, it, nl, pt, zh","ancora, aqmar, cnec2.0, conll, emerging, europeana, finer, germeval2014, harem, hipe, kind, nerkor, ontonotes, sonar"
ORG,0.5064935064935064,0.42391304347826086,0.4615384615384615,92.0,,ner_study/corpora/europeana/enp_DE.lft_validation.feather,1.308209,de,europeana,enp_DE.lft.txt,2727,78,32872,"ar, ca, cs, de, en, es, fi, fr, hu, it, nl, pt, zh","ancora, aqmar, cnec2.0, conll, emerging, europeana, finer, germeval2014, harem, hipe, kind, nerkor, ontonotes, sonar"
PER,0.5769230769230769,0.5813953488372093,0.5791505791505792,129.0,,ner_study/corpora/europeana/enp_DE.lft_validation.feather,1.308209,de,europeana,enp_DE.lft.txt,2727,78,32872,"ar, ca, cs, de, en, es, fi, fr, hu, it, nl, pt, zh","ancora, aqmar, cnec2.0, conll, emerging, europeana, finer, germeval2014, harem, hipe, kind, nerkor, ontonotes, sonar"
overall,0.6480769230769231,0.6934156378600823,0.6699801192842942,,0.8866313309776207,ner_study/corpora/europeana/enp_DE.lft_validation.feather,1.308209,de,europeana,enp_DE.lft.txt,2727,78,32872,"ar, ca, cs, de, en, es, fi, fr, hu, it, nl, pt, zh","ancora, aqmar, cnec2.0, conll, emerging, europeana, finer, germeval2014, harem, hipe, kind, nerkor, ontonotes, sonar"
LOC,0.5707964601769911,0.8805460750853242,0.6926174496644296,293.0,,ner_study/corpora/europeana/enp_NL.kb_validation.feather,1.080353,nl,europeana,enp_NL.kb.txt,29917,59,32872,"ar, ca, cs, de, en, es, fi, fr, hu, it, nl, pt, zh","ancora, aqmar, cnec2.0, conll, emerging, europeana, finer, germeval2014, harem, hipe, kind, nerkor, ontonotes, sonar"
MISC,0.0,0.0,0.0,0.0,,ner_study/corpora/europeana/enp_NL.kb_validation.feather,1.080353,nl,europeana,enp_NL.kb.txt,29917,59,32872,"ar, ca, cs, de, en, es, fi, fr, hu, it, nl, pt, zh","ancora, aqmar, cnec2.0, conll, emerging, europeana, finer, germeval2014, harem, hipe, kind, nerkor, ontonotes, sonar"
ORG,0.3488372093023256,0.30612244897959184,0.32608695652173914,49.0,,ner_study/corpora/europeana/enp_NL.kb_validation.feather,1.080353,nl,europeana,enp_NL.kb.txt,29917,59,32872,"ar, ca, cs, de, en, es, fi, fr, hu, it, nl, pt, zh","ancora, aqmar, cnec2.0, conll, emerging, europeana, finer, germeval2014, harem, hipe, kind, nerkor, ontonotes, sonar"
PER,0.4074074074074074,0.6666666666666666,0.5057471264367817,66.0,,ner_study/corpora/europeana/enp_NL.kb_validation.feather,1.080353,nl,europeana,enp_NL.kb.txt,29917,59,32872,"ar, ca, cs, de, en, es, fi, fr, hu, it, nl, pt, zh","ancora, aqmar, cnec2.0, conll, emerging, europeana, finer, germeval2014, harem, hipe, kind, nerkor, ontonotes, sonar"
overall,0.5188216039279869,0.7769607843137255,0.6221786064769381,,0.9507229832572298,ner_study/corpora/europeana/enp_NL.kb_validation.feather,1.080353,nl,europeana,enp_NL.kb.txt,29917,59,32872,"ar, ca, cs, de, en, es, fi, fr, hu, it, nl, pt, zh","ancora, aqmar, cnec2.0, conll, emerging, europeana, finer, germeval2014, harem, hipe, kind, nerkor, ontonotes, sonar"
LOC,0.6484149855907781,0.8928571428571429,0.7512520868113524,252.0,,ner_study/corpora/europeana/enp_DE.sbb_validation.feather,7.987996,de,europeana,enp_DE.sbb.txt,7270,477,32872,"ar, ca, cs, de, en, es, fi, fr, hu, it, nl, pt, zh","ancora, aqmar, cnec2.0, conll, emerging, europeana, finer, germeval2014, harem, hipe, kind, nerkor, ontonotes, sonar"
MISC,0.0,0.0,0.0,0.0,,ner_study/corpora/europeana/enp_DE.sbb_validation.feather,7.987996,de,europeana,enp_DE.sbb.txt,7270,477,32872,"ar, ca, cs, de, en, es, fi, fr, hu, it, nl, pt, zh","ancora, aqmar, cnec2.0, conll, emerging, europeana, finer, germeval2014, harem, hipe, kind, nerkor, ontonotes, sonar"
ORG,0.6178343949044586,0.6783216783216783,0.6466666666666666,143.0,,ner_study/corpora/europeana/enp_DE.sbb_validation.feather,7.987996,de,europeana,enp_DE.sbb.txt,7270,477,32872,"ar, ca, cs, de, en, es, fi, fr, hu, it, nl, pt, zh","ancora, aqmar, cnec2.0, conll, emerging, europeana, finer, germeval2014, harem, hipe, kind, nerkor, ontonotes, sonar"
PER,0.7619047619047619,0.8421052631578947,0.8,152.0,,ner_study/corpora/europeana/enp_DE.sbb_validation.feather,7.987996,de,europeana,enp_DE.sbb.txt,7270,477,32872,"ar, ca, cs, de, en, es, fi, fr, hu, it, nl, pt, zh","ancora, aqmar, cnec2.0, conll, emerging, europeana, finer, germeval2014, harem, hipe, kind, nerkor, ontonotes, sonar"
overall,0.6446991404011462,0.8226691042047533,0.7228915662650602,,0.9673805601317957,ner_study/corpora/europeana/enp_DE.sbb_validation.feather,7.987996,de,europeana,enp_DE.sbb.txt,7270,477,32872,"ar, ca, cs, de, en, es, fi, fr, hu, it, nl, pt, zh","ancora, aqmar, cnec2.0, conll, emerging, europeana, finer, germeval2014, harem, hipe, kind, nerkor, ontonotes, sonar"
LOC,0.8885298869143781,0.8898076577386302,0.8891683132746543,5563.0,,ner_study/corpora/germeval2014/NER-de-test.feather,86.454896,de,germeval2014,NER-de-test,96499,5100,32872,"ar, ca, cs, de, en, es, fi, fr, hu, it, nl, pt, zh","ancora, aqmar, cnec2.0, conll, emerging, europeana, finer, germeval2014, harem, hipe, kind, nerkor, ontonotes, sonar"
MISC,0.7071823204419889,0.6336633663366337,0.6684073107049607,1616.0,,ner_study/corpora/germeval2014/NER-de-test.feather,86.454896,de,germeval2014,NER-de-test,96499,5100,32872,"ar, ca, cs, de, en, es, fi, fr, hu, it, nl, pt, zh","ancora, aqmar, cnec2.0, conll, emerging, europeana, finer, germeval2014, harem, hipe, kind, nerkor, ontonotes, sonar"
ORG,0.8036053130929791,0.7644404332129964,0.7835337650323775,3324.0,,ner_study/corpora/germeval2014/NER-de-test.feather,86.454896,de,germeval2014,NER-de-test,96499,5100,32872,"ar, ca, cs, de, en, es, fi, fr, hu, it, nl, pt, zh","ancora, aqmar, cnec2.0, conll, emerging, europeana, finer, germeval2014, harem, hipe, kind, nerkor, ontonotes, sonar"
PER,0.9134948096885813,0.8987929433611885,0.9060842433697348,3231.0,,ner_study/corpora/germeval2014/NER-de-test.feather,86.454896,de,germeval2014,NER-de-test,96499,5100,32872,"ar, ca, cs, de, en, es, fi, fr, hu, it, nl, pt, zh","ancora, aqmar, cnec2.0, conll, emerging, europeana, finer, germeval2014, harem, hipe, kind, nerkor, ontonotes, sonar"
overall,0.8547155688622754,0.8314402213484783,0.8429172510518934,,0.9728938551915999,ner_study/corpora/germeval2014/NER-de-test.feather,86.454896,de,germeval2014,NER-de-test,96499,5100,32872,"ar, ca, cs, de, en, es, fi, fr, hu, it, nl, pt, zh","ancora, aqmar, cnec2.0, conll, emerging, europeana, finer, germeval2014, harem, hipe, kind, nerkor, ontonotes, sonar"
LOC,0.8023255813953488,0.92,0.8571428571428572,300.0,,ner_study/corpora/harem/harem_validation.feather,5.776947,pt,harem,HAREM,12941,342,32872,"ar, ca, cs, de, en, es, fi, fr, hu, it, nl, pt, zh","ancora, aqmar, cnec2.0, conll, emerging, europeana, finer, germeval2014, harem, hipe, kind, nerkor, ontonotes, sonar"
MISC,0.6893203883495146,0.6377245508982036,0.6625194401244169,334.0,,ner_study/corpora/harem/harem_validation.feather,5.776947,pt,harem,HAREM,12941,342,32872,"ar, ca, cs, de, en, es, fi, fr, hu, it, nl, pt, zh","ancora, aqmar, cnec2.0, conll, emerging, europeana, finer, germeval2014, harem, hipe, kind, nerkor, ontonotes, sonar"
ORG,0.6643835616438356,0.8016528925619835,0.7265917602996254,242.0,,ner_study/corpora/harem/harem_validation.feather,5.776947,pt,harem,HAREM,12941,342,32872,"ar, ca, cs, de, en, es, fi, fr, hu, it, nl, pt, zh","ancora, aqmar, cnec2.0, conll, emerging, europeana, finer, germeval2014, harem, hipe, kind, nerkor, ontonotes, sonar"
PER,0.851138353765324,0.8868613138686131,0.868632707774799,548.0,,ner_study/corpora/harem/harem_validation.feather,5.776947,pt,harem,HAREM,12941,342,32872,"ar, ca, cs, de, en, es, fi, fr, hu, it, nl, pt, zh","ancora, aqmar, cnec2.0, conll, emerging, europeana, finer, germeval2014, harem, hipe, kind, nerkor, ontonotes, sonar"
overall,0.771108179419525,0.8209269662921348,0.7952380952380952,,0.9628589088048547,ner_study/corpora/harem/harem_validation.feather,5.776947,pt,harem,HAREM,12941,342,32872,"ar, ca, cs, de, en, es, fi, fr, hu, it, nl, pt, zh","ancora, aqmar, cnec2.0, conll, emerging, europeana, finer, germeval2014, harem, hipe, kind, nerkor, ontonotes, sonar"
LOC,0.8063241106719368,0.7937743190661478,0.7999999999999999,514.0,,ner_study/corpora/hipe/HIPE-data-v1.4-test-de.feather,1.004054,de,hipe,HIPE-data-v1.4-test-de,30737,49,32872,"ar, ca, cs, de, en, es, fi, fr, hu, it, nl, pt, zh","ancora, aqmar, cnec2.0, conll, emerging, europeana, finer, germeval2014, harem, hipe, kind, nerkor, ontonotes, sonar"
MISC,0.5319148936170213,0.2808988764044944,0.3676470588235294,89.0,,ner_study/corpora/hipe/HIPE-data-v1.4-test-de.feather,1.004054,de,hipe,HIPE-data-v1.4-test-de,30737,49,32872,"ar, ca, cs, de, en, es, fi, fr, hu, it, nl, pt, zh","ancora, aqmar, cnec2.0, conll, emerging, europeana, finer, germeval2014, harem, hipe, kind, nerkor, ontonotes, sonar"
ORG,0.5,0.4457831325301205,0.4713375796178344,166.0,,ner_study/corpora/hipe/HIPE-data-v1.4-test-de.feather,1.004054,de,hipe,HIPE-data-v1.4-test-de,30737,49,32872,"ar, ca, cs, de, en, es, fi, fr, hu, it, nl, pt, zh","ancora, aqmar, cnec2.0, conll, emerging, europeana, finer, germeval2014, harem, hipe, kind, nerkor, ontonotes, sonar"
PER,0.5144508670520231,0.5798045602605864,0.5451761102603369,307.0,,ner_study/corpora/hipe/HIPE-data-v1.4-test-de.feather,1.004054,de,hipe,HIPE-data-v1.4-test-de,30737,49,32872,"ar, ca, cs, de, en, es, fi, fr, hu, it, nl, pt, zh","ancora, aqmar, cnec2.0, conll, emerging, europeana, finer, germeval2014, harem, hipe, kind, nerkor, ontonotes, sonar"
overall,0.6542502387774594,0.6366171003717472,0.6453132359868111,,0.9484630603677073,ner_study/corpora/hipe/HIPE-data-v1.4-test-de.feather,1.004054,de,hipe,HIPE-data-v1.4-test-de,30737,49,32872,"ar, ca, cs, de, en, es, fi, fr, hu, it, nl, pt, zh","ancora, aqmar, cnec2.0, conll, emerging, europeana, finer, germeval2014, harem, hipe, kind, nerkor, ontonotes, sonar"
LOC,0.9161931818181818,0.8799454297407913,0.8977035490605427,733.0,,ner_study/corpora/hipe/HIPE-data-v1.4-test-fr.feather,0.901458,fr,hipe,HIPE-data-v1.4-test-fr,40854,43,32872,"ar, ca, cs, de, en, es, fi, fr, hu, it, nl, pt, zh","ancora, aqmar, cnec2.0, conll, emerging, europeana, finer, germeval2014, harem, hipe, kind, nerkor, ontonotes, sonar"
MISC,0.5,0.07142857142857142,0.125,28.0,,ner_study/corpora/hipe/HIPE-data-v1.4-test-fr.feather,0.901458,fr,hipe,HIPE-data-v1.4-test-fr,40854,43,32872,"ar, ca, cs, de, en, es, fi, fr, hu, it, nl, pt, zh","ancora, aqmar, cnec2.0, conll, emerging, europeana, finer, germeval2014, harem, hipe, kind, nerkor, ontonotes, sonar"
ORG,0.46987951807228917,0.6964285714285714,0.5611510791366906,112.0,,ner_study/corpora/hipe/HIPE-data-v1.4-test-fr.feather,0.901458,fr,hipe,HIPE-data-v1.4-test-fr,40854,43,32872,"ar, ca, cs, de, en, es, fi, fr, hu, it, nl, pt, zh","ancora, aqmar, cnec2.0, conll, emerging, europeana, finer, germeval2014, harem, hipe, kind, nerkor, ontonotes, sonar"
