task,precision,recall,f1,number,accuracy,language,model,corpus,subset,validation_duration,tokens,sentences
PER,0.25386996904024767,0.3299798792756539,0.2869641294838145,497.0,,fr,fr_core_news_lg,hipe,HIPE-data-v1.4-test-fr,2.699392,40854,43
overall,0.3643377625375054,0.5494505494505495,0.43814432989690727,,0.9191021686982914,fr,fr_core_news_lg,hipe,HIPE-data-v1.4-test-fr,2.699392,40854,43
LOC,0.5511320468013979,0.6250215405824574,0.5857558139534883,11606.0,,fr,fr_core_news_lg,wikiann,wikiann-fr.bio,59.154192,171850,25000
MISC,0.0,0.0,0.0,0.0,,fr,fr_core_news_lg,wikiann,wikiann-fr.bio,59.154192,171850,25000
ORG,0.5962363030014293,0.2330106125488736,0.3350736278447122,10742.0,,fr,fr_core_news_lg,wikiann,wikiann-fr.bio,59.154192,171850,25000
PER,0.6517652827721477,0.748264214674423,0.6966890888442386,10658.0,,fr,fr_core_news_lg,wikiann,wikiann-fr.bio,59.154192,171850,25000
overall,0.5254392983079977,0.5372356541234927,0.5312720027564304,,0.6862205411696247,fr,fr_core_news_lg,wikiann,wikiann-fr.bio,59.154192,171850,25000
LOC,0.5223214285714286,0.6679352997145576,0.5862212943632569,1051.0,,de,de_core_news_lg,conll,deu.testb,8.527169,51943,3005
MISC,0.07035175879396985,0.20388349514563106,0.10460772104607721,206.0,,de,de_core_news_lg,conll,deu.testb,8.527169,51943,3005
ORG,0.5057324840764331,0.6786324786324787,0.5795620437956205,585.0,,de,de_core_news_lg,conll,deu.testb,8.527169,51943,3005
PER,0.7988313856427379,0.7902559867877786,0.7945205479452054,1211.0,,de,de_core_news_lg,conll,deu.testb,8.527169,51943,3005
overall,0.5346585117227319,0.6871929249918113,0.6014046151641107,,0.9433994956009472,de,de_core_news_lg,conll,deu.testb,8.527169,51943,3005
LOC,0.436077057793345,0.4061990212071778,0.4206081081081081,613.0,,de,de_core_news_lg,europeana,enp_DE.onb.txt,0.504854,11223,3
MISC,0.0,0.0,0.0,0.0,,de,de_core_news_lg,europeana,enp_DE.onb.txt,0.504854,11223,3
ORG,0.031746031746031744,0.2727272727272727,0.056872037914691934,22.0,,de,de_core_news_lg,europeana,enp_DE.onb.txt,0.504854,11223,3
PER,0.34183673469387754,0.2896253602305475,0.31357254290171604,694.0,,de,de_core_news_lg,europeana,enp_DE.onb.txt,0.504854,11223,3
overall,0.2593856655290102,0.3431151241534989,0.2954324586977648,,0.768332887819656,de,de_core_news_lg,europeana,enp_DE.onb.txt,0.504854,11223,3
LOC,0.5677083333333334,0.6646341463414634,0.6123595505617978,164.0,,de,de_core_news_lg,europeana,enp_DE.lft.txt,0.284067,2727,78
MISC,0.0,0.0,0.0,0.0,,de,de_core_news_lg,europeana,enp_DE.lft.txt,0.284067,2727,78
ORG,0.09803921568627451,0.10204081632653061,0.1,49.0,,de,de_core_news_lg,europeana,enp_DE.lft.txt,0.284067,2727,78
PER,0.3055555555555556,0.4024390243902439,0.3473684210526316,82.0,,de,de_core_news_lg,europeana,enp_DE.lft.txt,0.284067,2727,78
overall,0.34106728538283065,0.49830508474576274,0.40495867768595045,,0.8184818481848185,de,de_core_news_lg,europeana,enp_DE.lft.txt,0.284067,2727,78
LOC,0.44660194174757284,0.7419354838709677,0.5575757575757576,124.0,,de,de_core_news_lg,europeana,enp_DE.sbb.txt,1.315272,7270,477
MISC,0.0,0.0,0.0,0.0,,de,de_core_news_lg,europeana,enp_DE.sbb.txt,1.315272,7270,477
ORG,0.22666666666666666,0.3953488372093023,0.288135593220339,43.0,,de,de_core_news_lg,europeana,enp_DE.sbb.txt,1.315272,7270,477
PER,0.4244604316546763,0.7023809523809523,0.5291479820627802,84.0,,de,de_core_news_lg,europeana,enp_DE.sbb.txt,1.315272,7270,477
overall,0.2916666666666667,0.6693227091633466,0.4062877871825877,,0.9132049518569464,de,de_core_news_lg,europeana,enp_DE.sbb.txt,1.315272,7270,477
LOC,0.617536534446764,0.6224747474747475,0.6199958080067073,2376.0,,de,de_core_news_lg,germeval2014,NER-de-test,15.018631,96499,5100
MISC,0.18096430807764557,0.37146529562982006,0.24336842105263157,778.0,,de,de_core_news_lg,germeval2014,NER-de-test,15.018631,96499,5100
ORG,0.580177276390008,0.5413533834586466,0.5600933488914818,1330.0,,de,de_core_news_lg,germeval2014,NER-de-test,15.018631,96499,5100
PER,0.784651992861392,0.7786304604486423,0.7816296296296296,1694.0,,de,de_core_news_lg,germeval2014,NER-de-test,15.018631,96499,5100
overall,0.5506219265258895,0.6162188410488831,0.5815765352887259,,0.9409009419786734,de,de_core_news_lg,germeval2014,NER-de-test,15.018631,96499,5100
LOC,0.3939393939393939,0.6991596638655462,0.5039370078740157,595.0,,de,de_core_news_lg,hipe,HIPE-data-v1.4-test-de,1.360458,30737,49
MISC,0.017921146953405017,0.16129032258064516,0.03225806451612903,62.0,,de,de_core_news_lg,hipe,HIPE-data-v1.4-test-de,1.360458,30737,49
ORG,0.09003215434083602,0.2153846153846154,0.126984126984127,130.0,,de,de_core_news_lg,hipe,HIPE-data-v1.4-test-de,1.360458,30737,49
PER,0.12145110410094637,0.24758842443729903,0.16296296296296298,311.0,,de,de_core_news_lg,hipe,HIPE-data-v1.4-test-de,1.360458,30737,49
overall,0.20750293083235638,0.48360655737704916,0.2904019688269073,,0.8811204736961967,de,de_core_news_lg,hipe,HIPE-data-v1.4-test-de,1.360458,30737,49
LOC,0.6523579601825518,0.7370348228964281,0.6921160661029437,13382.0,,de,de_core_news_lg,wikiann,wikiann-de.bio,62.949879,247528,25000
MISC,0.0,0.0,0.0,0.0,,de,de_core_news_lg,wikiann,wikiann-de.bio,62.949879,247528,25000
ORG,0.7404553415061296,0.3626694115628753,0.48687240902809764,11658.0,,de,de_core_news_lg,wikiann,wikiann-de.bio,62.949879,247528,25000
PER,0.7711803041274439,0.7814465408805031,0.7762794814390587,9540.0,,de,de_core_news_lg,wikiann,wikiann-de.bio,62.949879,247528,25000
overall,0.6109913793103449,0.6230769230769231,0.616974972796518,,0.8648193335703436,de,de_core_news_lg,wikiann,wikiann-de.bio,62.949879,247528,25000
LOC,0.5577956989247311,0.8556701030927835,0.6753458096013017,970.0,,es,es_core_news_lg,ancora,ancora-es-2.0,8.870864,81226,2603
MISC,0.3941176470588235,0.459954233409611,0.4244984160506864,437.0,,es,es_core_news_lg,ancora,ancora-es-2.0,8.870864,81226,2603
ORG,0.7974434611602753,0.5363756613756614,0.6413602214313959,1512.0,,es,es_core_news_lg,ancora,ancora-es-2.0,8.870864,81226,2603
PER,0.8804895608351332,0.860056258790436,0.8701529704731412,1422.0,,es,es_core_news_lg,ancora,ancora-es-2.0,8.870864,81226,2603
