"corpus","lang","task","precision","recall","specificity","f1","evaluation_time","subset","language","sentences","tokens"
"europeana","de","ORG",0.25,0.0930232558139535,0.998926654740608,0.135593220338983,47.876410484314,"enp_DE.onb.txt","de",3,11223
"europeana","de","PER",1,0.0523598820058997,1,0.0995094604064471,47.876410484314,"enp_DE.onb.txt","de",3,11223
"europeana","fr","LOC",NA,0,1,NA,43.4299066066742,"enp_FR.bnf.txt","fr",1778,30030
"europeana","fr","O",0.929756065004839,0.999605352850429,0.0241075567918405,0.963416320885201,43.4299066066742,"enp_FR.bnf.txt","fr",1778,30030
"europeana","fr","ORG",0.375,0.025,0.999494438827098,0.046875,43.4299066066742,"enp_FR.bnf.txt","fr",1778,30030
"europeana","fr","PER",0.948717948717949,0.0437352245862884,0.999931469298246,0.0836158192090395,43.4299066066742,"enp_FR.bnf.txt","fr",1778,30030
"europeana","de","LOC",NA,0,1,NA,42.6059129238129,"enp_DE.lft.txt","de",78,2727
"europeana","de","O",0.846720707442889,0.999130434782609,0.0257611241217799,0.916633426406063,42.6059129238129,"enp_DE.lft.txt","de",78,2727
"europeana","de","ORG",0.2,0.0104166666666667,0.998479665526416,0.0198019801980198,42.6059129238129,"enp_DE.lft.txt","de",78,2727
"europeana","de","PER",0.75,0.0410958904109589,0.99922510654785,0.0779220779220779,42.6059129238129,"enp_DE.lft.txt","de",78,2727
"europeana","nl","LOC",NA,0,1,NA,44.5198619365692,"enp_NL.kb.txt","nl",59,29917
"europeana","nl","O",0.952283411685695,0.998275133765137,0.0583167660702452,0.974737059187461,44.5198619365692,"enp_NL.kb.txt","nl",59,29917
"europeana","nl","ORG",0.767857142857143,0.184549356223176,0.999562053631586,0.29757785467128,44.5198619365692,"enp_NL.kb.txt","nl",59,29917
"europeana","nl","PER",0.197530864197531,0.0254777070063694,0.997780736795384,0.0451339915373766,44.5198619365692,"enp_NL.kb.txt","nl",59,29917
"europeana","de","LOC",NA,0,1,NA,43.8508911132812,"enp_DE.sbb.txt","de",477,7270
"europeana","de","O",0.953122845719013,0.999277247759468,0.0340909090909091,0.975654505680615,43.8508911132812,"enp_DE.sbb.txt","de",477,7270
"europeana","de","ORG",0.5,0.0340909090909091,0.999582289055973,0.0638297872340425,43.8508911132812,"enp_DE.sbb.txt","de",477,7270
"europeana","de","PER",0.818181818181818,0.0681818181818182,0.99971980947044,0.125874125874126,43.8508911132812,"enp_DE.sbb.txt","de",477,7270
"germeval2014","de","LOC",NA,0,1,NA,44.1948249340057,"NER-de-test","de",5100,96499
"germeval2014","de","MISC",NA,0,1,NA,44.1948249340057,"NER-de-test","de",5100,96499
"germeval2014","de","O",0.919526813880126,0.999051753684451,0.146727617348645,0.957641132344084,44.1948249340057,"NER-de-test","de",5100,96499
"germeval2014","de","ORG",0.749585406301824,0.222331529758977,0.998401541295281,0.342943854324734,44.1948249340057,"NER-de-test","de",5100,96499
"germeval2014","de","PER",0.943467336683417,0.287849750862399,0.999520715731175,0.441116005873715,44.1948249340057,"NER-de-test","de",5100,96499
"harem","pt","LOC",NA,0,1,NA,43.1401333808899,"HAREM","pt",342,12941
"harem","pt","MISC",NA,0,1,NA,43.1401333808899,"HAREM","pt",342,12941
"harem","pt","O",0.904614407116194,0.998159670493384,0.215032679738562,0.94908757603533,43.1401333808899,"HAREM","pt",342,12941
"harem","pt","ORG",0.433333333333333,0.178082191780822,0.994624080955016,0.252427184466019,43.1401333808899,"HAREM","pt",342,12941
"harem","pt","PER",0.926086956521739,0.340255591054313,0.998619569630532,0.497663551401869,43.1401333808899,"HAREM","pt",342,12941
"hipe","de","LOC",NA,0,1,NA,44.6153736114502,"HIPE-data-v1.4-test-de","de",49,30737
