task,precision,recall,f1,number,accuracy,language,corpus,subset,validation_duration,tokens,sentences
MISC,0.005141388174807198,0.030303030303030304,0.00879120879120879,66.0,,fr,hipe,HIPE-data-v1.4-test-fr,2.547333,40854,43
ORG,0.22962962962962963,0.23846153846153847,0.23396226415094337,130.0,,fr,hipe,HIPE-data-v1.4-test-fr,2.547333,40854,43
PER,0.31941544885177453,0.30784708249496984,0.3135245901639344,497.0,,fr,hipe,HIPE-data-v1.4-test-fr,2.547333,40854,43
overall,0.34794776119402987,0.48222365869424694,0.4042264968843132,,0.91259117834239,fr,hipe,HIPE-data-v1.4-test-fr,2.547333,40854,43
LOC,0.48807442120724626,0.6012407375495433,0.5387792919739026,11606.0,,fr,wikiann,wikiann-fr.bio,179.949674,171850,25000
MISC,0.0,0.0,0.0,0.0,,fr,wikiann,wikiann-fr.bio,179.949674,171850,25000
ORG,0.6097838452787259,0.1995903928504934,0.30074344227801936,10742.0,,fr,wikiann,wikiann-fr.bio,179.949674,171850,25000
PER,0.6933023015257306,0.7546443985738412,0.7226739745720833,10658.0,,fr,wikiann,wikiann-fr.bio,179.949674,171850,25000
overall,0.5172829460868517,0.5200569593407259,0.5186662436356494,,0.6775327320337504,fr,wikiann,wikiann-fr.bio,179.949674,171850,25000
LOC,0.8800834202294057,0.8030447193149381,0.8398009950248756,1051.0,,de,conll,deu.testb,12.880558,51943,3005
MISC,0.09799554565701558,0.21359223300970873,0.13435114503816792,206.0,,de,conll,deu.testb,12.880558,51943,3005
ORG,0.7169811320754716,0.7145299145299145,0.7157534246575342,585.0,,de,conll,deu.testb,12.880558,51943,3005
PER,0.947945205479452,0.8571428571428571,0.9002601908065915,1211.0,,de,conll,deu.testb,12.880558,51943,3005
overall,0.7595593000648088,0.7677694071405176,0.7636422870174295,,0.9676953583736019,de,conll,deu.testb,12.880558,51943,3005
LOC,0.8222222222222222,0.30179445350734097,0.441527446300716,613.0,,de,europeana,enp_DE.onb.txt,1.665904,11223,3
MISC,0.0,0.0,0.0,0.0,,de,europeana,enp_DE.onb.txt,1.665904,11223,3
ORG,0.07142857142857142,0.09090909090909091,0.08,22.0,,de,europeana,enp_DE.onb.txt,1.665904,11223,3
PER,0.41627906976744183,0.2579250720461095,0.31850533807829173,694.0,,de,europeana,enp_DE.onb.txt,1.665904,11223,3
overall,0.47843137254901963,0.27539503386004516,0.3495702005730659,,0.8590394725118061,de,europeana,enp_DE.onb.txt,1.665904,11223,3
LOC,0.8909090909090909,0.5975609756097561,0.7153284671532847,164.0,,de,europeana,enp_DE.lft.txt,0.394566,2727,78
MISC,0.0,0.0,0.0,0.0,,de,europeana,enp_DE.lft.txt,0.394566,2727,78
ORG,0.3333333333333333,0.08163265306122448,0.13114754098360654,49.0,,de,europeana,enp_DE.lft.txt,0.394566,2727,78
PER,0.5,0.47560975609756095,0.4875,82.0,,de,europeana,enp_DE.lft.txt,0.394566,2727,78
